Frame,Class,Color,Conf,x1,y1,x2,y2
343,traffic light,Red,0.6987,688,356,731,442
344,traffic light,Red,0.6852,688,357,731,442
345,traffic light,Red,0.6759,688,357,731,442
346,traffic light,Red,0.6852,688,357,731,442
347,traffic light,Red,0.6813,688,357,731,442
348,traffic light,Red,0.6791,688,357,731,442
349,traffic light,Red,0.6813,688,357,731,442
350,traffic light,Red,0.7319,688,356,730,442
351,traffic light,Red,0.7303,688,356,730,442
352,traffic light,Red,0.7306,688,355,730,442
353,traffic light,Red,0.7292,688,355,730,442
354,traffic light,Red,0.7265,688,355,730,442
355,traffic light,Red,0.7267,688,355,730,442
356,traffic light,Red,0.7127,688,355,730,442
357,traffic light,Red,0.7035,688,355,730,442
358,traffic light,Red,0.7070,688,355,730,442
359,traffic light,Red,0.7189,688,355,730,442
360,traffic light,Red,0.7095,688,355,730,442
361,traffic light,Red,0.7143,688,355,730,442
362,traffic light,Red,0.7135,688,355,731,442
363,traffic light,Red,0.7196,688,355,731,442
364,traffic light,Red,0.7232,688,355,731,442
365,traffic light,Red,0.7316,688,355,731,442
366,traffic light,Red,0.7384,688,355,731,442
367,traffic light,Red,0.7420,688,355,731,442
368,traffic light,Red,0.7465,688,355,731,442
369,traffic light,Red,0.7562,688,355,731,442
370,traffic light,Red,0.7572,688,355,731,442
371,traffic light,Red,0.7589,688,355,731,442
372,traffic light,Red,0.7580,688,355,731,442
373,traffic light,Red,0.7530,688,355,731,442
374,traffic light,Red,0.7501,688,355,731,442
375,traffic light,Red,0.7571,688,355,731,442
376,traffic light,Red,0.7561,688,355,731,442
377,traffic light,Red,0.7635,688,355,731,442
378,traffic light,Red,0.7512,688,355,731,442
379,traffic light,Red,0.7618,688,355,731,442
380,traffic light,Red,0.7550,688,355,731,442
381,traffic light,Red,0.7460,688,355,731,442
382,traffic light,Red,0.7406,688,355,731,442
383,traffic light,Red,0.7422,688,355,731,442
384,traffic light,Red,0.7462,688,355,731,442
385,traffic light,Red,0.7497,688,355,731,442
386,traffic light,Red,0.7426,688,355,731,442
387,traffic light,Red,0.7205,688,355,731,442
388,traffic light,Red,0.7172,687,355,731,442
389,traffic light,Red,0.7138,687,355,731,442
390,traffic light,Red,0.7113,687,355,731,442
391,traffic light,Red,0.7209,687,355,731,442
392,traffic light,Red,0.7297,687,355,731,442
393,traffic light,Red,0.7147,687,355,731,442
394,traffic light,Red,0.7305,687,355,731,442
395,traffic light,Red,0.7354,687,355,731,442
396,traffic light,Red,0.7358,687,355,731,442
397,traffic light,Red,0.7349,687,355,731,442
398,traffic light,Red,0.7398,687,356,730,442
399,traffic light,Red,0.7415,687,356,730,442
400,traffic light,Red,0.7017,687,356,730,442
401,traffic light,Red,0.7054,687,356,730,441
402,traffic light,Red,0.7038,687,356,730,441
403,traffic light,Red,0.6858,687,356,730,441
404,traffic light,Red,0.6805,687,357,730,441
405,traffic light,Red,0.6914,687,357,730,441
406,traffic light,Red,0.6899,687,357,730,441
407,traffic light,Red,0.6981,687,357,730,441
408,traffic light,Red,0.6872,687,357,730,441
409,traffic light,Red,0.6946,687,357,730,441
410,traffic light,Red,0.6866,687,357,730,441
411,traffic light,Red,0.6850,687,357,730,441
412,traffic light,Red,0.6808,687,357,730,441
413,traffic light,Red,0.7026,687,357,730,441
414,traffic light,Red,0.6843,687,357,730,441
415,traffic light,Red,0.6913,687,357,730,441
416,traffic light,Red,0.6970,687,357,730,441
417,traffic light,Red,0.6964,687,357,730,441
418,traffic light,Red,0.6907,687,357,730,441
419,traffic light,Red,0.6740,687,357,730,441
420,traffic light,Red,0.6565,687,357,730,441
421,traffic light,Red,0.6505,687,357,730,441
422,traffic light,Red,0.6424,687,357,730,441
423,traffic light,Red,0.6292,687,357,730,441
424,traffic light,Red,0.6379,687,357,730,441
425,traffic light,Red,0.6293,687,357,730,441
426,traffic light,Red,0.6252,687,357,730,441
427,traffic light,Red,0.6259,687,357,731,441
428,traffic light,Red,0.6413,687,357,730,441
429,traffic light,Red,0.6224,687,357,730,441
430,traffic light,Red,0.6274,687,357,731,441
431,traffic light,Red,0.6231,687,357,731,442
432,traffic light,Red,0.6146,687,357,731,442
433,traffic light,Red,0.6291,687,357,730,441
434,traffic light,Red,0.6304,687,357,730,441
435,traffic light,Red,0.6400,687,357,730,441
436,traffic light,Red,0.6524,687,358,730,441
437,traffic light,Red,0.6511,687,358,730,441
438,traffic light,Red,0.6558,687,358,730,441
439,traffic light,Red,0.6765,687,358,730,441
440,traffic light,Red,0.6728,687,358,730,441
441,traffic light,Red,0.6754,687,358,730,441
442,traffic light,Red,0.6330,687,357,730,441
443,traffic light,Red,0.6587,687,358,730,441
444,traffic light,Red,0.6659,687,357,730,442
445,traffic light,Red,0.6590,687,357,730,441
446,traffic light,Red,0.6484,687,357,730,442
447,traffic light,Red,0.6629,687,357,730,442
448,traffic light,Red,0.6202,687,357,730,442
449,traffic light,Red,0.6227,687,357,730,441
450,traffic light,Red,0.7113,688,358,730,441
451,traffic light,Red,0.7019,688,358,730,441
452,traffic light,Red,0.7089,688,358,730,441
453,traffic light,Red,0.7134,688,358,730,441
454,traffic light,Red,0.7117,688,358,730,441
455,traffic light,Red,0.6996,688,358,730,441
456,traffic light,Red,0.7089,688,358,730,441
457,traffic light,Red,0.6914,688,358,730,441
458,traffic light,Red,0.7138,688,358,729,441
459,traffic light,Red,0.6793,688,358,729,441
460,traffic light,Red,0.7015,688,358,729,441
461,traffic light,Red,0.6966,687,358,730,441
462,traffic light,Red,0.7000,687,357,730,441
463,traffic light,Red,0.7157,687,357,730,441
464,traffic light,Red,0.7004,687,358,730,441
465,traffic light,Red,0.6909,687,358,730,441
466,traffic light,Red,0.6871,687,358,730,441
467,traffic light,Red,0.6879,688,358,730,442
468,traffic light,Red,0.6623,688,358,730,442
469,traffic light,Red,0.6743,688,358,730,441
470,traffic light,Red,0.6622,688,358,729,441
471,traffic light,Red,0.6620,688,358,729,441
472,traffic light,Red,0.6449,688,358,729,441
473,traffic light,Red,0.6522,688,358,729,441
474,traffic light,Red,0.6635,688,359,729,441
475,traffic light,Red,0.6561,688,359,729,441
476,traffic light,Red,0.6597,688,359,729,441
477,traffic light,Red,0.6564,688,358,730,440
478,traffic light,Red,0.6587,688,358,730,440
479,traffic light,Red,0.6676,688,358,730,440
480,traffic light,Red,0.6635,688,358,730,440
481,traffic light,Red,0.6423,688,358,730,440
482,traffic light,Red,0.6389,688,359,729,440
483,traffic light,Red,0.6548,688,359,729,440
484,traffic light,Red,0.6768,688,359,730,440
485,traffic light,Red,0.6856,688,359,730,440
486,traffic light,Red,0.6948,688,359,730,440
487,traffic light,Red,0.6956,687,359,730,440
488,traffic light,Red,0.6872,688,358,730,440
489,traffic light,Red,0.7000,688,358,730,440
490,traffic light,Red,0.6916,688,358,730,440
491,traffic light,Red,0.6907,688,358,730,440
492,traffic light,Red,0.7017,688,358,730,440
493,traffic light,Red,0.6834,688,358,730,440
494,traffic light,Red,0.6891,688,358,730,440
495,traffic light,Red,0.6696,688,358,730,441
496,traffic light,Red,0.6606,688,359,730,440
497,traffic light,Red,0.6527,688,359,730,440
498,traffic light,Red,0.6269,688,359,730,440
499,traffic light,Red,0.6389,688,359,730,440
500,traffic light,Red,0.7119,687,358,730,441
501,traffic light,Red,0.7288,687,357,730,441
502,traffic light,Red,0.7239,687,357,730,441
503,traffic light,Red,0.7194,687,357,730,441
504,traffic light,Red,0.7209,687,357,730,441
505,traffic light,Red,0.7225,687,357,730,441
506,traffic light,Red,0.7230,687,357,730,441
507,traffic light,Red,0.7289,687,357,730,441
508,traffic light,Red,0.7203,687,357,730,441
509,traffic light,Red,0.7067,687,357,730,441
510,traffic light,Red,0.7096,687,357,730,441
511,traffic light,Red,0.7282,687,357,730,441
512,traffic light,Red,0.7168,687,357,730,441
513,traffic light,Red,0.6962,687,357,730,441
514,traffic light,Red,0.6917,687,357,730,441
515,traffic light,Red,0.7004,687,357,730,441
516,traffic light,Red,0.6921,687,357,730,441
517,traffic light,Red,0.6855,687,358,730,441
518,traffic light,Red,0.6839,687,358,730,441
519,traffic light,Red,0.6682,687,358,730,441
520,traffic light,Red,0.6703,687,358,730,441
521,traffic light,Red,0.6686,687,358,730,441
